item_category_name,Count,Percentage
Кино - DVD,564651,0.19233010757046612
Игры PC - Стандартные издания,351591,0.11975810695599186
Музыка - CD локального производства,339585,0.11566865121874705
Игры - PS3,208219,0.07092307047754257
Кино - Blu-Ray,192673,0.06562782819108515
Игры - XBOX 360,146785,0.04999756458366473
Игры PC - Дополнительные издания,121539,0.04139833090529705
Игры - PS4,79058,0.026928551697076444
Подарки - Мягкие игрушки,53845,0.018340558401794646
Подарки - Настольные игры (компактные),53227,0.018130056682186344
Подарки - Фигурки,47177,0.016069319783108292
Кино - Blu-Ray 3D,42718,0.01455050559583738
Программы - Для дома и офиса,42603,0.014511334563871433
Подарки - Развитие,41706,0.014205800514537051
Подарки - Настольные игры,37635,0.012819145982942549
Подарки - Сувениры (в навеску),35484,0.012086477376344716
Кино - Коллекционное,32748,0.01115454743322446
Музыка - MP3,32490,0.011066668074553032
Игры - PSP,32164,0.010955626714371306
"Подарки - Сумки, Альбомы, Коврики д/мыши",31397,0.010694372962041907
Подарки - Сувениры,26822,0.009136047125135778
Книги - Аудиокниги,26537,0.009038971089394086
"Подарки - Гаджеты, роботы, спорт",25949,0.008838687899863855
Аксессуары - PS4,25283,0.008611836532130636
Игры - PSVita,23851,0.008124072029737285
Книги - Методические материалы 1С,23708,0.008075363703031803
Карты оплаты - PSN,23166,0.007890748926287952
Игры PC - Цифра,20649,0.007033414252737629
Игры - Аксессуары для игр,18576,0.006327313824342787
Аксессуары - XBOX 360,18498,0.006300745646139797
Аксессуары - PS3,18461,0.00628814279237684
Игры - XBOX ONE,14891,0.005072137713086156
Музыка - Винил,13702,0.004667143304325197
Программы - 1С:Предприятие 8,12780,0.004353093813259087
Игры PC - Коллекционные издания,12257,0.0041749507722313485
Подарки - Атрибутика,12237,0.004168138418845967
Служебные,9067,0.0030883804072629225
Музыка - CD фирменного производства,7931,0.002701438734973226
Карты оплаты - Live!,7924,0.002699054411288342
Игровые консоли - PS4,7402,0.0025212519879298724
Аксессуары - PSVita,7231,0.002463006366484856
Элементы питания,7206,0.002454490924753129
Музыка - Музыкальное видео,6629,0.0022579545295848586
Игровые консоли - PS3,6109,0.002080833341564927
"Книги - Комиксы, манга",5657,0.0019268741550552942
Игровые консоли - XBOX 360,5360,0.0018257107072823717
Книги - Аудиокниги 1С,5234,0.0017827928809544652
Книги - Цифра,5175,0.0017626964384675884
"Карты оплаты (Кино, Музыка, Игры)",4875,0.0016605111376868586
"Подарки - Открытки, наклейки",4848,0.001651314460616593
Аксессуары - XBOX ONE,4459,0.0015188141872709132
Чистые носители (штучные),4390,0.0014953115680913455
Программы - Для дома и офиса (Цифра),3746,0.0012759537890820456
Программы - Обучающие,3703,0.0012613072293034744
Игровые консоли - PSVita,2974,0.001012996948406301
"Книги - Артбуки, энциклопедии",2835,0.0009656510923778962
Программы - Обучающие (Цифра),2346,0.0007990890521053067
Аксессуары - PSP,2304,0.0007847831099960045
Игровые консоли - XBOX ONE,2247,0.0007653679028476659
Доставка товара,2193,0.0007469745487071345
Карты оплаты - Live! (Цифра),1921,0.0006543265426659395
Билеты (Цифра),1877,0.0006393393652180992
Музыка - Подарочные издания,1525,0.0005194419456353763
Служебные - Билеты,1325,0.0004513184117815564
Чистые носители (шпиль),795,0.00027079104706893386
Кино - Blu-Ray 4K,624,0.0002125454256239179
Игровые консоли - PSP,355,0.00012091927259053021
Игровые консоли - Прочие,322,0.00010967888950464994
Книги - Аудиокниги (Цифра),248,8.447318197873661e-05
"Подарки - Сертификаты, услуги",123,4.18959733200992e-05
Игры Android - Цифра,91,3.0996207903488024e-05
Программы - MAC (Цифра),56,1.9074589479069555e-05
Карты оплаты - Windows (Цифра),19,6.471735716112885e-06
Книги - Бизнес литература,15,5.109265039036488e-06
Игры - PS2,11,3.746794361960091e-06
Игры MAC - Цифра,8,2.7249413541527936e-06
Книги - Компьютерная литература,6,2.043706015614595e-06
Книги - Путеводители,3,1.0218530078072976e-06
PC - Гарнитуры/Наушники,3,1.0218530078072976e-06
Книги - Художественная литература,3,1.0218530078072976e-06
Аксессуары - PS2,2,6.812353385381984e-07
Книги - Открытки,2,6.812353385381984e-07
Книги - Познавательная литература,1,3.406176692690992e-07
Игровые консоли - PS2,1,3.406176692690992e-07
